county,name_short,neighbours,fa_region,skl_code,muni_group,name_long
Västra Götalands län,Skövde,"Götene kommun,Skara kommun,Mariestads kommun,Töreboda kommun,Tibro kommun,Hjo kommun,Falköpings kommun,Tidaholms kommun",Västerås,1496,Pendlingskommuner,Skövde kommun
Jämtlands län,Åre,"Bergs kommun,Krokoms kommun",Stockholm,2321,Förortskommuner till större städer,Åre kommun
Stockholms län,Österåker,"Vallentuna kommun,Norrtälje kommun,Täby kommun,Vaxholms stad",Karlskoga,0117,Pendlingskommuner,Österåkers kommun
Västra Götalands län,Öckerö,Göteborgs stad,Skövde,1407,Kommuner i tätbefolkad region,Öckerö kommun
Stockholms län,Solna,"Sollentuna kommun,Sundbybergs stad,Stockholms stad,Danderyds kommun",Malung,0184,Turism- och besöksnäringskommuner,Solna stad
Norrbottens län,Arvidsjaur,"Norsjö kommun,Malå kommun,Sorsele kommun,Piteå kommun,Skellefteå kommun,Älvsbyns kommun,Jokkmokks kommun,Arjeplogs kommun",Stockholm,2505,Förortskommuner till storstäderna,Arvidsjaurs kommun
Östergötlands län,Valdemarsvik,"Västerviks kommun,Söderköpings kommun,Åtvidabergs kommun",Sorsele,0563,Glesbygdkommuner,Valdemarsviks kommun
Uppsala län,Älvkarleby,"Tierps kommun,Gävle kommun",Stockholm,0319,Förortskommuner till storstäderna,Älvkarleby kommun
Norrbottens län,Kalix,"Luleå kommun,Haparanda stad,Övertorneå kommun,Överkalix kommun",Malmö,2514,Förortskommuner till större städer,Kalix kommun
Norrbottens län,Överkalix,"Luleå kommun,Bodens kommun,Gällivare kommun,Övertorneå kommun,Kalix kommun,Pajala kommun",Årjäng,2513,Glesbygdkommuner,Överkalix kommun
Stockholms län,Nynäshamn,"Botkyrka kommun,Haninge kommun",Borås,0192,Kommuner i tätbefolkad region,Nynäshamns kommun
Stockholms län,Tyresö,"Nacka kommun,Stockholms stad,Huddinge kommun,Haninge kommun",Östersund,0138,Turism- och besöksnäringskommuner,Tyresö kommun
Västra Götalands län,Åmål,"Säffle kommun,Bengtsfors kommun,Melleruds kommun,Årjängs kommun",Stockholm,1492,Förortskommuner till storstäderna,Åmåls kommun
Skåne län,Hörby,"Eslövs kommun,Hässleholms kommun,Kristianstads kommun,Tomelilla kommun,Höörs kommun,Sjöbo kommun",Kristianstad,1266,Kommuner i tätbefolkad region,Hörby kommun
Värmlands län,Eda,"Arvika kommun,Årjängs kommun",Stockholm,1730,Förortskommuner till större städer,Eda kommun
Värmlands län,Munkfors,"Sunne kommun,Forshaga kommun,Hagfors kommun",Lidköping,1762,Varuproducerande kommuner,Munkfors kommun
Västra Götalands län,Ale,"Kungälvs kommun,Göteborgs stad,Alingsås kommun,Lerums kommun,Trollhättans stad,Lilla Edets kommun",Stockholm,1440,Förortskommuner till storstäderna,Ale kommun
Västra Götalands län,Tibro,"Töreboda kommun,Karlsborgs kommun,Skövde kommun,Hjo kommun",Söderhamn,1472,Kommuner i glesbefolkad region,Tibro kommun
Värmlands län,Storfors,"Karlstads kommun,Kristinehamns kommun,Degerfors kommun,Karlskoga kommun,Hällefors kommun,Filipstads kommun",Mora,1760,Kommuner i glesbefolkad region,Storfors kommun
Stockholms län,Järfälla,"Upplands Väsby kommun,Upplands-Bro kommun,Sollentuna kommun,Stockholms stad",Kristianstad,0123,Pendlingskommuner,Järfälla kommun
Hallands län,Kungsbacka,"Mölndals stad,Göteborgs stad,Markaryds kommun,Varbergs kommun,Härryda kommun",Malmö,1384,Pendlingskommuner,Kungsbacka kommun
Skåne län,Ängelholm,"Helsingborgs stad,Laholms kommun,Örkelljunga kommun,Klippans kommun,Åstorps kommun,Båstads kommun",Stockholm,1292,Förortskommuner till storstäderna,Ängelholms kommun
Gävleborgs län,Hofors,"Sandvikens kommun,Avesta kommun,Falu kommun,Säters kommun,Hedemora kommun",Blekinge,2104,Varuproducerande kommuner,Hofors kommun
Kronobergs län,Ljungby,"Laholms kommun,Hylte kommun,Halmstads kommun,Alvesta kommun,Älmhults kommun,Marks kommun,Värnamo kommun,Gislaveds kommun",Göteborg,0781,Pendlingskommuner,Ljungby kommun
Dalarnas län,Leksand,"Rättviks kommun,Mora kommun,Vansbro kommun,Gagnefs kommun,Falu kommun,Borlänge kommun",Halmstad,2029,Större städer,Leksands kommun
Västra Götalands län,Orust,"Stenungsunds kommun,Uddevalla kommun,Tjörns kommun,Lysekils kommun",Karlstad,1421,Förortskommuner till större städer,Orust kommun
